category,sku,date,quantity
Aluminum Flatdeck,ALPL-1210134,1/31/2021,2
Aluminum Flatdeck,ALPL-1210134-S,1/31/2021,1
Aluminum Flatdeck,ALPL-1610134-S,1/31/2021,1
Aluminum Flatdeck,ALPL-1810134-S,1/31/2021,2
Aluminum Flatdeck,ALRD-01843842,1/31/2021,2
Aluminum Flatdeck,ALRD-02845638,1/31/2021,1
Aluminum Flatdeck,ALRD-02845642,1/31/2021,5
Aluminum Flatdeck,ALRD-02975638,1/31/2021,7
Aluminum Flatdeck,ALRD-02975642,1/31/2021,3
Aluminum Flatdeck,ALRD-02975842,1/31/2021,2
Aluminum Flatdeck,ALRD-03976034GMSD,1/31/2021,1
Aluminum Flatdeck,ALRD-03976034SD,1/31/2021,28
Aluminum Flatdeck,ALRD-04978434,1/31/2021,2
Aluminum Flatdeck,ALRD-04978434GMSD,1/31/2021,1
Aluminum Flatdeck,ALRD-04978434SD,1/31/2021,5
Aluminum Flatdeck,ALRD-04978434SD-S,1/31/2021,1
Aluminum Flatdeck,ALRD-05CUSTOM,1/31/2021,1
Aluminum Flatdeck,ALRS-01843842,1/31/2021,2
Aluminum Flatdeck,ALGB-02975638,1/31/2021,1
Aluminum Flatdeck,ALGB-03976034SD,1/31/2021,1
Aluminum Skirted,ALER-03946034SD,1/31/2021,1
Aluminum Skirted,ALER-03946034SD-S,1/31/2021,1
Aluminum Skirted,ALSK-01843842,1/31/2021,6
Aluminum Skirted,ALSK-01844038,1/31/2021,4
Aluminum Skirted,ALSK-01844042-S,1/31/2021,2
Aluminum Skirted,ALSK-01844242GM,1/31/2021,7
Aluminum Skirted,ALSK-01844242GM-S,1/31/2021,1
Aluminum Skirted,ALSK-01973842,1/31/2021,2
Aluminum Skirted,ALSK-02845638,1/31/2021,5
Aluminum Skirted,ALSK-02845642,1/31/2021,1
Aluminum Skirted,ALSK-02845642GM,1/31/2021,7
Aluminum Skirted,ALSK-02845642GM-S,1/31/2021,1
Aluminum Skirted,ALSK-02845842,1/31/2021,8
Aluminum Skirted,ALSK-02975638,1/31/2021,8
Aluminum Skirted,ALSK-02975642GM,1/31/2021,8
Aluminum Skirted,ALSK-02975642-S,1/31/2021,1
Aluminum Skirted,ALSK-02975742SD,1/31/2021,1
Aluminum Skirted,ALSK-02975842,1/31/2021,13
Aluminum Skirted,ALSK-02975842-S,1/31/2021,2
Aluminum Skirted,ALSK-03846034SD,1/31/2021,1
Aluminum Skirted,ALSK-03946034SD,1/31/2021,28
Aluminum Skirted,ALSK-03946034SD-S,1/31/2021,5
Aluminum Skirted,ALSK-03976034GMSD,1/31/2021,1
Aluminum Skirted,ALSK-03976034SD,1/31/2021,2
Aluminum Skirted,ALSK-03976034SD-S,1/31/2021,1
Aluminum Skirted,ALSK-04948434SD,1/31/2021,7
Aluminum Skirted,ALSK-04948434SD-S,1/31/2021,4
Aluminum Skirted,ALSK-04978434,1/31/2021,1
Aluminum Skirted,ALSK-04978434GMSD,1/31/2021,1
Aluminum Skirted,ALSK-04978434GMSD-S,1/31/2021,1
Aluminum Skirted,ALSK-04978434SD,1/31/2021,9
Aluminum Skirted,ALSK-04978434SD-S,1/31/2021,1
